,State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall
86,andaman and nicobar island,sugarcane,rabi       ,nicobars,70.93,1419.0,20.01,nan,nan
87,andaman and nicobar island,sugarcane,summer     ,nicobars,33.5,578.5,16.835,nan,nan
88,andaman and nicobar island,sugarcane,whole year ,nicobars,1.8,11.0,3.375,nan,nan
89,andaman and nicobar island,sugarcane,whole year ,north and middle andaman,97.76666667,2538.333333,25.63666667,nan,nan
90,andaman and nicobar island,sugarcane,whole year ,south andamans,209.956,4329.6,17.904,nan,nan
91,andaman and nicobar island,sunflower,rabi       ,north and middle andaman,1.586,1.4,1.164,nan,nan
92,andaman and nicobar island,sunflower,rabi       ,south andamans,1.0,1.0,0.5,nan,nan
93,andaman and nicobar island,sunflower,summer     ,north and middle andaman,12.0,13.0,1.08,nan,nan
94,andaman and nicobar island,sweet potato,autumn     ,nicobars,65.0,360.0,5.54,nan,nan
95,andaman and nicobar island,sweet potato,rabi       ,nicobars,23.03454545,203.9090909,14.92363636,nan,nan
96,andaman and nicobar island,sweet potato,rabi       ,north and middle andaman,62.777,621.6,9.938,nan,nan
97,andaman and nicobar island,sweet potato,rabi       ,south andamans,28.485,431.0,26.096,nan,nan
98,andaman and nicobar island,sweet potato,summer     ,nicobars,108.0,631.5,5.83,nan,nan
99,andaman and nicobar island,sweet potato,whole year ,nicobars,11.33333333,44.66666667,3.593333333,nan,nan
100,andaman and nicobar island,sweet potato,whole year ,north and middle andaman,69.33333333,362.6666667,6.286666667,nan,nan
101,andaman and nicobar island,sweet potato,whole year ,south andamans,81.15,460.0,6.275,nan,nan
102,andaman and nicobar island,tapioca,autumn     ,nicobars,108.0,848.0,7.85,nan,nan
103,andaman and nicobar island,tapioca,rabi       ,nicobars,225.95,1347.0,5.96,nan,nan
104,andaman and nicobar island,tapioca,summer     ,nicobars,191.5,1692.5,8.705,nan,nan
105,andaman and nicobar island,tapioca,whole year ,nicobars,52.92083333,431.6666667,8.244166667,nan,nan
106,andaman and nicobar island,tapioca,whole year ,north and middle andaman,122.0925,1348.166667,13.22916667,nan,nan
107,andaman and nicobar island,tapioca,whole year ,south andamans,42.68583333,519.75,20.25333333,nan,nan
108,andaman and nicobar island,turmeric,rabi       ,nicobars,13.21625,62.625,1.87875,nan,nan
109,andaman and nicobar island,turmeric,rabi       ,north and middle andaman,72.657,526.2,6.83,nan,nan
110,andaman and nicobar island,turmeric,rabi       ,south andamans,14.646,139.1,9.3,nan,nan
111,andaman and nicobar island,turmeric,summer     ,nicobars,83.0,382.5,4.61,nan,nan
112,andaman and nicobar island,turmeric,whole year ,nicobars,6.25,35.5,3.705,nan,nan
113,andaman and nicobar island,turmeric,whole year ,north and middle andaman,68.0,408.0,6.0,nan,nan
114,andaman and nicobar island,turmeric,whole year ,south andamans,45.85,316.0,6.5,nan,nan
115,andaman and nicobar island,urad,rabi       ,nicobars,445.4033333,265.0,0.59,nan,nan
116,andaman and nicobar island,urad,rabi       ,north and middle andaman,519.685,247.9,0.458,nan,nan
117,andaman and nicobar island,urad,rabi       ,south andamans,11.27777778,5.888888889,0.406666667,nan,nan
118,andaman and nicobar island,urad,summer     ,nicobars,1217.0,664.0,0.545,nan,nan
119,andaman and nicobar island,other oilseeds,rabi       ,north and middle andaman,0.16,0.0,1.25,nan,nan
120,andaman and nicobar island,other oilseeds,whole year ,nicobars,2.6,0.0,0.09,nan,nan
121,andaman and nicobar island,other oilseeds,whole year ,north and middle andaman,84.31,38.0,0.505,nan,nan
122,andaman and nicobar island,other oilseeds,whole year ,south andamans,66.808,34.2,0.536,nan,nan
123,andhra pradesh,arecanut,kharif     ,anantapur,599.875,2901.125,4.1,nan,nan
124,andhra pradesh,arecanut,kharif     ,east godavari,57.375,123.875,2.57375,nan,nan
125,andhra pradesh,arecanut,kharif     ,vizianagaram,3.0,13.66666667,3.843333333,nan,nan
126,andhra pradesh,arecanut,kharif     ,west godavari,30.5,245.75,6.31,nan,nan
127,andhra pradesh,arecanut,whole year ,anantapur,315.4,290.8,1.018,nan,nan
128,andhra pradesh,arecanut,whole year ,east godavari,12.33333333,11.88888889,1.161111111,nan,nan
129,andhra pradesh,arecanut,whole year ,krishna,10.6,12.2,1.42,nan,nan
